zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/22/18,10/24/18,10/26/18,10/28/18,10/29/18,10/31/18,11/2/18,11/4/18,viable,chill_germ,mold,adj_total
10/22/18,20,Oenethera biennis,H,F,115,0,5,11,11,11,11,11,11,,,,
10/22/18,20,Oenethera biennis,H,F,116,0,5,12,12,13,13,13,13,,,,
10/22/18,20,Oenethera biennis,H,F,117,0,7,15,15,16,16,16,16,,,,
10/22/18,20,Oenethera biennis,L,F,118,0,1,17,18,18,18,18,18,,,,
10/22/18,20,Oenethera biennis,L,F,119,0,,10,15,15,15,15,15,,,,
10/22/18,20,Oenethera biennis,L,F,120,0,,13,14,14,14,14,14,,,,
10/22/18,20,Asclepias syriaca,H,F,163,0,,11,18,19,20,20,20,,,,
10/22/18,20,Asclepias syriaca,H,F,164,0,,5,18,19,20,20,20,,,,
10/22/18,20,Asclepias syriaca,H,F,165,0,7,16,18,19,20,20,20,,,,
10/22/18,20,Asclepias syriaca,L,F,166,0,,,5,5,9,16,16,,,,
10/22/18,20,Asclepias syriaca,L,F,167,0,,,6,6,9,9,10,,,,
10/22/18,20,Asclepias syriaca,L,F,168,0,,,9,14,16,18,19,,,,
10/22/18,20,Cryptotaenia canadensis,H,F,211,0,1,1,7,7,10,10,10,,,,
10/22/18,20,Cryptotaenia canadensis,H,F,212,0,1,2,9,10,11,11,11,,,,
10/22/18,20,Cryptotaenia canadensis,H,F,213,0,,1,5,5,6,6,7,,,,
10/22/18,20,Cryptotaenia canadensis,L,F,214,0,2,6,17,17,20,20,20,,,,
10/22/18,20,Cryptotaenia canadensis,L,F,215,0,2,4,11,12,18,19,19,,,,
10/22/18,20,Cryptotaenia canadensis,L,F,216,0,,4,14,19,20,20,20,,,,
10/22/18,20,Eurbia diviricata,H,F,277,0,1,5,9,9,9,10,10,,,,
10/22/18,20,Eurbia diviricata,H,F,278,0,1,2,7,9,9,10,10,,,,
10/22/18,20,Eurbia diviricata,H,F,279,0,,1,7,8,9,9,10,,,,
10/22/18,20,Eurbia diviricata,L,F,280,0,,2,6,9,9,12,13,,,,
10/22/18,20,Eurbia diviricata,L,F,281,0,,3,8,9,10,10,11,,,,
10/22/18,20,Eurbia diviricata,L,F,282,0,,1,5,6,8,8,8,,,,
10/22/18,20,Hesperis matronalis,H,F,331,0,18,18,18,18,18,18,18,,2,,
10/22/18,20,Hesperis matronalis,H,F,332,0,15,17,19,19,19,19,19,,2,,
10/22/18,20,Hesperis matronalis,H,F,333,0,19,20,20,20,20,20,20,,1,,
10/22/18,20,Hesperis matronalis,L,F,334,0,17,17,17,17,17,17,17,,2,,
10/22/18,20,Hesperis matronalis,L,F,335,0,13,13,13,13,14,14,14,,4,,
10/22/18,20,Hesperis matronalis,L,F,336,0,15,18,18,18,18,18,18,,2,,
